team_id,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,completed_passes,attempted_passes,field_goals_completed,field_goals_attempted,total_fumbles,defensive_interception,yards_after_interception,total_kickoffs_received,yards_off_kickoff_received,total_punts_received,yards_off_punts_received,total_punts_kicked,total_punt_yards,total_defensive_sacks,yards_lost_from_sacks,total_penalties,total_yards_penalized
97,California,244,35,37.5,37.5,8.1,20.1,11.1,9,36.6,2561,197,105,19,104,476,16,1710,131.5,887,276,23,35,4271,328.5,7,3.6,204,365,11,17,30,8,65,22,442,14,156,71,2793,46,274,62,528
98,Colorado,257,21,41.34,60,3.6,21.8,5.7,11,39.6,2858,238.2,127,18,109,436,14,1804,150.3,868,282,23.5,33,4662,388.5,7,4.1,257,411,17,22,11,11,40,22,480,10,57,59,2619,21,131,85,726
99,Oregon,320,26,41.81,52,14.7,26.3,14.3,6,38.5,3615,258.2,170,35,124,510,26,2448,174.9,981,495,35.4,67,6063,433.1,8.1,4.8,298,446,9,14,21,20,293,29,762,18,258,62,2720,25,175,85,862
100,Oregon State,266,15,42.33,54.17,6.9,21.7,5.1,4,37.9,3061,255.1,140,30,111,410,21,1880,156.7,855,374,31.2,52,4941,411.8,7.3,4.6,260,420,4,9,6,8,55,32,693,13,66,59,2511,25,177,78,701
101,Stanford,237,24,39.16,30.77,1.9,24.1,7.2,8,37.4,3149,262.4,143,18,70,346,8,1266,105.5,819,260,21.7,29,4415,367.9,7.1,3.7,276,444,19,25,7,8,15,32,770,13,93,56,2221,29,142,75,585
102,UCLA,269,21,41.62,44.83,15.2,21.9,22.5,12,38.8,3066,255.5,137,22,111,490,18,1802,150.2,953,320,26.7,42,4868,405.7,7.2,3.7,260,426,8,14,17,5,76,19,416,8,180,50,2100,37,316,81,663
103,USC,301,26,45.83,60,9,21.1,5.6,15,38.9,4365,335.8,183,35,92,391,18,1537,118.2,933,422,32.5,54,5902,454,8.5,3.9,365,514,14,17,26,9,81,40,844,20,112,52,2141,28,192,90,877
104,Utah,301,29,46.02,42.31,19.5,17.6,9.6,4,36.1,3187,227.6,125,20,147,591,34,2819,201.4,938,452,32.3,60,6006,429,9.9,4.8,233,321,11,15,31,14,273,10,176,26,249,45,1800,26,154,103,862
105,Washington,264,16,35.67,71.88,10.7,22.8,10.7,8,42.5,3164,243.4,139,24,109,461,24,1922,147.8,894,416,32,51,5086,391.2,7.7,4.2,263,411,19,21,34,13,139,17,388,25,268,50,2231,22,153,79,639
106,Washington State,335,23,42.55,59.09,12.6,21.5,16.2,16,40.5,5683,437.2,258,50,54,210,12,885,68.1,940,489,37.6,62,6568,505.2,8,4.2,505,710,20,21,16,10,126,40,858,6,97,30,1352,20,153,85,794
